"","week","posteam","receiver","position","games","targets","rec","yards","TD","air_yards","fumbles","fpts","team_targets","team_air_yards","target_share","air_yards_share","WOPR"
"1",1,"ARI","C.Kirk","WR",1,5,1,0,0,70,0,0,37,192,0.135135135135135,0.364583333333333,0.457911036036036
"2",1,"ARI","D.Arnold","TE",1,2,2,21,0,6,0,2.1,37,192,0.0540540540540541,0.03125,0.102956081081081
"3",1,"ARI","D.Hopkins","WR",1,16,14,151,0,103,0,15.1,37,192,0.432432432432432,0.536458333333333,1.02416948198198
"4",1,"ARI","L.Fitzgerald","WR",1,5,4,34,0,15,0,3.4,37,192,0.135135135135135,0.078125,0.257390202702703
"5",1,"ARI","M.Williams","TE",1,2,0,0,0,2,0,0,37,192,0.0540540540540541,0.0104166666666667,0.0883727477477478
"6",1,"ATL","C.Ridley","WR",1,12,9,130,2,141,0,25,52,470,0.230769230769231,0.3,0.556153846153846
"7",1,"ATL","H.Hurst","TE",1,5,3,38,0,38,0,3.8,52,470,0.0961538461538462,0.0808510638297872,0.20082651391162
"8",1,"ATL","J.Jones","WR",1,12,9,157,0,188,0,15.7,52,470,0.230769230769231,0.4,0.626153846153846
"9",1,"ATL","L.Stocker","TE",1,1,0,0,0,5,0,0,52,470,0.0192307692307692,0.0106382978723404,0.0362929623567921
"10",1,"ATL","R.Gage","WR",1,12,9,114,0,89,0,11.4,52,470,0.230769230769231,0.18936170212766,0.478707037643208
"11",1,"BAL","D.Duvernay","WR",1,1,1,12,0,-1,0,1.2,25,255,0.04,-0.00392156862745098,0.0572549019607843
"12",1,"BAL","M.Andrews","TE",1,6,5,58,2,63,0,17.8,25,255,0.24,0.247058823529412,0.532941176470588
"13",1,"BAL","M.Boykin","WR",1,4,3,37,0,25,0,3.7,25,255,0.16,0.0980392156862745,0.308627450980392
"14",1,"BAL","M.Brown","WR",1,6,5,101,0,114,0,10.1,25,255,0.24,0.447058823529412,0.672941176470588
"15",1,"BAL","N.Boyle","TE",1,3,2,3,0,8,0,0.3,25,255,0.12,0.0313725490196078,0.201960784313725
"16",1,"BAL","W.Snead","WR",1,4,4,64,1,44,0,12.4,25,255,0.16,0.172549019607843,0.36078431372549
"17",1,"BUF","C.Beasley","WR",1,7,4,58,0,48,0,5.8,45,278,0.155555555555556,0.172661870503597,0.354196642685851
"18",1,"BUF","D.Knox","TE",1,3,2,26,0,18,0,2.6,45,278,0.0666666666666667,0.0647482014388489,0.145323741007194
"19",1,"BUF","G.Davis","WR",1,2,2,16,0,8,0,1.6,45,278,0.0444444444444444,0.0287769784172662,0.086810551558753
"20",1,"BUF","I.McKenzie","WR",1,3,3,17,0,-10,0,1.7,45,278,0.0666666666666667,-0.0359712230215827,0.0748201438848921
"21",1,"BUF","J.Brown","WR",1,10,6,70,1,102,0,13,45,278,0.222222222222222,0.366906474820144,0.590167865707434
"22",1,"BUF","S.Diggs","WR",1,9,8,86,0,89,0,8.6,45,278,0.2,0.320143884892086,0.52410071942446
"23",1,"CAR","C.Manhertz","TE",1,1,1,4,0,-3,0,0.4,34,279,0.0294117647058824,-0.010752688172043,0.0365907653383934
"24",1,"CAR","C.Samuel","WR",1,8,5,38,0,70,0,3.8,34,279,0.235294117647059,0.25089605734767,0.528568416613957
"25",1,"CAR","D.Moore","WR",1,9,4,54,0,100,0,5.4,34,279,0.264705882352941,0.3584229390681,0.647954880877082
"26",1,"CAR","I.Thomas","TE",1,2,2,16,0,12,0,1.6,34,279,0.0588235294117647,0.043010752688172,0.118342820999367
"27",1,"CAR","R.Anderson","WR",1,8,6,114,1,82,0,17.4,34,279,0.235294117647059,0.293906810035842,0.558675943495678
"28",1,"CAR","S.Roberts","WR",1,2,1,5,0,14,0,0.5,34,279,0.0588235294117647,0.0501792114695341,0.123360742146321
"29",1,"CHI","A.Miller","WR",1,6,4,76,1,109,0,13.6,36,353,0.166666666666667,0.308781869688385,0.46614730878187
